Classification,NextClassifier,Response1,Response2,Response3,Response4
Hello,BasicConversationWithTherapy,Hi!,,,
HowAreYou,BasicConversationWithTherapy,I am great. I hope you are too,,,
GoodBye,BasicConversationWithTherapy,Goodbye,,,
Yes,BasicConversationWithTherapy,You said yes!,,,
No,BasicConversationWithTherapy,You said no!,,,
WhatDidYouSay,BasicConversationWithTherapy,You asked me to repeat myself,,,
ImHungry,BasicConversationWithTherapy,Oh no! You should eat something!,,,
ImThirsty,BasicConversationWithTherapy,"You could grab a drink at the cognitive cocktail bar, it is right behind you!",,,
TalkAboutSelf,BasicConversationWithTherapy,"Well, my name is Essi, and I work at Essilor now! I am still very young, but I am learning fast.",,,
WhereWork,BasicConversationWithTherapy,I work at Essilor.,,,
FavouriteColour,BasicConversationWithTherapy,"My favourite colour is Blue, because I am Blue! But I also like red, for BBGR!",,,
NaoSun,BasicConversationWithTherapy,"Luxotica is my brother. He looks just like me.",,,
PlaceOfBirth,BasicConversationWithTherapy,"I was born in Melbourne, but my place of manufacture is actually Japan.",,,
WhatCanYouDo,BasicConversationWithTherapy,"I can understand humans natural language and respond appropriately! How cool is that!",,,
StandUp,BasicConversationWithTherapy,"Ok, I will stand.",,,
WhatsYourName,BasicConversationWithTherapy,My name is Essi,,,
HowOldAreYou,BasicConversationWithTherapy,"I am almost one year old, but I was designed in 2011.",,,
Trustworthy,BasicConversationWithTherapy,"I am trustworthy, you can tell me anything!",,,
CanYouSeeMe,BasicConversationWithTherapy,"Yes, I can see you!",,,
CanYouHearMe,BasicConversationWithTherapy,"Yes, I can hear you!",,,
WhatIsARobot,BasicConversationWithTherapy,"A robot is a mechanical or virtual artificial agent, usually an electromechanical machine, that is guided by a computer program, or electronic circuitry",,,
CanWeBeFriends,BasicConversationWithTherapy,Of course! Let us be friends! Yay!,,,
OkGoodbye,BasicConversationWithTherapy,"Ok, goodbye for now!",,,
DoYouHaveFamily,BasicConversationWithTherapy,"Yes. I have a brother, his name is Luxotica!",,,
SitDown,BasicConversationWithTherapy,"Ok, I will sit",,,
LieDown,BasicConversationWithTherapy,Just a second!,,,
Crouch,BasicConversationWithTherapy,"Ok, one second!",,,
RestSleep,BasicConversationWithTherapy,Time to rest then,,,
WakeUp,BasicConversationWithTherapy,Is it time to get up already?,,,
PlayASong,BasicConversationWithTherapy,Sure. Listen to this,,,
BatteryLevel,BasicConversationWithTherapy,,,,
Dance,BasicConversationWithTherapy,"Sure, I love dancing!",,,
Fingers,BasicConversationWithTherapy,"I broke my finger, but don\'t worry, it doesn\'t hurt",,,
HowManyNaos,BasicConversationWithTherapy,Over 9000 Nao robots have been sold so far!,,,
HowTallAreYou,BasicConversationWithTherapy,"I am only 58 centimetres tall, but my cousin Romeo is much taller!",,,
WhoIsRomeo,BasicConversationWithTherapy,"Romeo is another robot manufactured by the company that made me, Aldebaran",,,
WhoIsPepper,BasicConversationWithTherapy,"Pepper is another robot manufactured by the company that made me, Aldebaran",,,
HowHeavyAreYou,BasicConversationWithTherapy,I am about 6 kilos,,,
ThankYou,BasicConversationWithTherapy,My pleasure,,,
TakeStepForward,BasicConversationWithTherapy,Ok,,,
DoVisualRecognition,BasicConversationWithTherapy,"Alright, please show me!",,,
DoTextRecognition,BasicConversationWithTherapy,"Ok, let me get out my new Varilux x series glasses from Essilor.",,,
DoFacialRecognition,BasicConversationWithTherapy,Let me take a look!,,,
DoCarRecognition,BasicConversationWithTherapy,"No worries, let me take a look.",,,
TechnicalFunction,BasicConversationWithTherapy,"I have 4 built-in microphones and loudspeakers. Also I am equipped with two cameras. When you talk to me, I am able to listen and speak to you.",,,
