Hi,Hello
Hello,Hello
Greetings,Hello
Hey,Hello
Hello Naomi,Hello
Hi Naomi,Hello
Welcome,Hello
Yo,Hello
How's it hanging,Hello
what's cracking,Hello
Hi there,Hello
What's up,Hello
Whats up,HowAreYou
What's up,HowAreYou
How are you,HowAreYou
How are you feeling,HowAreYou
How's your health,HowAreYou
Hows it going,HowAreYou
Are you good,HowAreYou
How do you do,HowAreYou
Everything ok,HowAreYou
Everything ok with you Naomi,HowAreYou
Are you happy,HowAreYou
What's doing,HowAreYou
Goodbye,GoodBye
Farewell,GoodBye
See you later,GoodBye
So long,GoodBye
So long Naomi,GoodBye
See you,GoodBye
Bye,GoodBye
Go away,GoodBye
Bye Naomi,GoodBye
I'm going now,GoodBye
what,WhatDidYouSay
what did you say,WhatDidYouSay
I didn't understand you,WhatDidYouSay
I'm not sure what you said,WhatDidYouSay
I misheard,WhatDidYouSay
sorry I didn't understand,WhatDidYouSay
cant understand you,WhatDidYouSay
please repeat that,WhatDidYouSay
I don't think I understood you,WhatDidYouSay
whats that,WhatDidYouSay
I'm hungry,ImHungry
I'm starving,ImHungry
I am so hungry,ImHungry
I am very hungry,ImHungry
I'm famished,ImHungry
I need to eat,ImHungry
I need to eat something,ImHungry
I need some food,ImHungry
I must eat,ImHungry
my stomach is growling,ImHungry
I have hunger pangs,ImHungry
it's lunch time,ImHungry
it's time for lunch,ImHungry
it's dinner time,ImHungry
it's time for dinner,ImHungry
I'm thirsty,ImThirsty
I need something to drink,ImThirsty
I need some water,ImThirsty
I really need to drink something,ImThirsty
I'm dehydrated,ImThirsty
I'm so thirsty,ImThirsty
I need a drink,ImThirsty
Does anyone have a drink,ImThirsty
I must drink something,ImThirsty
I have to drink something,ImThirsty
Tell me something about yourself,TalkAboutSelf
What do you do,TalkAboutSelf
Tell me about yourself,TalkAboutSelf
What are you like,TalkAboutSelf
What's something interesting about yourself,TalkAboutSelf
What can you tell me about yourself,TalkAboutSelf
Say something to describe yourself,TalkAboutSelf
Describe yourself,TalkAboutSelf
Can you describe yourself,TalkAboutSelf
Give me a description of yourself,TalkAboutSelf
Where do you work,WhereWork
What do you work as,WhereWork
Do you have a job,WhereWork
What's your job,WhereWork
What is your job,WhereWork
What do you do for work,WhereWork
Do you work somewhere,WhereWork
Have you got a job,WhereWork
Do you work,WhereWork
What do you do for a living,WhereWork
What is your favorite color,FavouriteColour
what color is your favorite,FavouriteColour
do you have a favorite color,FavouriteColour
is there any particular color that you really like,FavouriteColour
favorite color,FavouriteColour
choose your favorite color,FavouriteColour
if you had to choose what would be your favorite color,FavouriteColour
what is your color of choice,FavouriteColour
tell me your favorite color,FavouriteColour
what is the best color,FavouriteColour
Tell me about your brother,NaoSun
who is now sun,NaoSun
do you know now sun,NaoSun
who is your brother,NaoSun
what can you tell me about your brother,NaoSun
what can you tell me about now sun,NaoSun
who is your brother,NaoSun
do you have any brothers or sisters,NaoSun
tell me about now sun,NaoSun
have you met now sun,NaoSun
Where were you born,PlaceOfBirth
what is your place of birth,PlaceOfBirth
where are you from,PlaceOfBirth
what is your heritage,PlaceOfBirth
what city were you born in,PlaceOfBirth
